order,rent,number of beds,number of baths,size,address,contact,link,walk_score,transit_score,bike_score,school1_names,school1_info,school1_score,school2_names,school2_info,school2_score,school3_names,school3_info,school3_score
22,"$4,000/mo",5 beds,3 baths,"2,680  sqft","9301 Santayana Dr, Fairfax, VA 22031",(703) 966-2232,https://www.redfin.com/VA/Fairfax/9301-Santayana-Dr-22031/home/9617063,N/A,N/A,N/A,Frost Middle School,"Public, 7-8 • Assigned • 1.7mi",7,Woodson High School,"Public, 9-12 • Assigned • 1.5mi",8,N/A,N/A,N/A
23,"$3,750/mo",4 beds,2.5 baths,"1,736  sqft","4349 Farm House Ln, Fairfax, VA 22032",(703) 533-8660,https://www.redfin.com/VA/Fairfax/4349-Farm-House-Ln-22032/home/9690108,N/A,N/A,N/A,Frost Middle School,"Public, 7-8 • Assigned • 1.3mi",7,Woodson High School,"Public, 9-12 • Assigned • 1.3mi",8,N/A,N/A,N/A
24,"$3,200/mo",3 beds,2.5 baths,"2,188  sqft","4490 Beacon Grove Cir, Fairfax, VA 22033",(703) 564-4000,https://www.redfin.com/VA/Fairfax/4490-Beacon-Grove-Cir-22033/home/28551097,N/A,N/A,N/A,Johnson Middle School,"Public, 7-8 • Assigned • 2.5mi",5,Fairfax High School,"Public, 9-12 • Assigned • 4.7mi",5,N/A,N/A,N/A
25,"$3,990/mo",5 beds,3 baths,"2,016  sqft","5029 Gadsen Dr, Fairfax, VA 22032",(703) 449-7629,https://www.redfin.com/VA/Fairfax/5029-Gadsen-Dr-22032/home/9692753,N/A,N/A,N/A,Robinson Secondary,"Public, 7-12 • Assigned • 0.4mi",7,N/A,N/A,N/A,N/A,N/A,N/A
26,"$3,500/mo",5 beds,3 baths,"1,674  sqft","4608 Braeburn Dr, Fairfax, VA 22032",(703) 636-7300,https://www.redfin.com/VA/Fairfax/4608-Braeburn-Dr-22032/home/9697976,N/A,N/A,N/A,Frost Middle School,"Public, 7-8 • Assigned • 1.1mi",7,Woodson High School,"Public, 9-12 • Assigned • 1.3mi",8,N/A,N/A,N/A
27,"$3,700/mo",4 beds,3.5 baths,"2,700  sqft","4000 Park Chase Dr, Fairfax, VA 22030",(703) 815-5700,https://www.redfin.com/VA/Fairfax/4000-Park-Chase-Dr-22030/home/9837130,65,44,59,Frost Middle School,"Public, 7-8 • Assigned • 4.3mi",7,Woodson High School,"Public, 9-12 • Assigned • 4.1mi",8,N/A,N/A,N/A
28,"$3,400/mo",3 beds,2.5 baths,"1,638  sqft","3809 Keith Ave, Fairfax, VA 22030",(703) 378-8810,https://www.redfin.com/VA/Fairfax/3809-Keith-Ave-22030/home/12026511,69,40,64,Johnson Middle School,"Public, 7-8 • Assigned • 0.9mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.5mi",5,N/A,N/A,N/A
29,"$3,400/mo",3 beds,3.5 baths,"2,140  sqft","12605 Buckleys Gate Dr, Fairfax, VA 22030",(703) 938-6070,https://www.redfin.com/VA/Fairfax/12605-Buckleys-Gate-Dr-22030/home/9840559,N/A,N/A,N/A,Johnson Middle School,"Public, 7-8 • Assigned • 3.1mi",5,Fairfax High School,"Public, 9-12 • Assigned • 5.2mi",5,N/A,N/A,N/A
30,"$4,350/mo",4 beds,2 baths,"2,342  sqft","6563 Williamsburg Blvd, Arlington, VA 22213",(703) 964-1290,https://www.redfin.com/VA/Arlington/6563-Williamsburg-Blvd-22213/home/11224677,54,33,57,Williamsburg Middle School,"Public, 6-8 • Assigned • 1.0mi",9,Yorktown High School,"Public, 9-12 • Assigned • 1.1mi",7,N/A,N/A,N/A
31,"$3,950/mo",4 beds,3 baths,"1,838  sqft","5124 23rd Rd N, Arlington, VA 22207",(703) 525-1900,https://www.redfin.com/VA/Arlington/5124-23rd-Rd-N-22207/home/11228281,91,45,75,Williamsburg Middle School,"Public, 6-8 • Assigned • 1.2mi",9,Yorktown High School,"Public, 9-12 • Assigned • 0.6mi",7,N/A,N/A,N/A
32,"$4,960/mo",3 beds,2 baths,"1,526  sqft","Io Piazza By Windsor | 2727 S Quincy St, Arlington, VA 22206",(571) 348-9465,https://www.redfin.com/VA/Arlington/Io-Piazza-By-Windsor/apartment/11279949,86,57,80,Gunston Middle School,"Public, 6-8 • Assigned • 1.0mi",5,Wakefield High School,"Public, 9-12 • Assigned • 1.4mi",4,N/A,N/A,N/A
33,"$4,200/mo",3 beds,3 baths,"1,957  sqft","4942 34th Rd N, Arlington, VA 22207",(703) 378-8810,https://www.redfin.com/VA/Arlington/4942-34th-Rd-N-22207/home/11229046,21,34,47,Williamsburg Middle School,"Public, 6-8 • Assigned • 0.5mi",9,Yorktown High School,"Public, 9-12 • Assigned • 0.6mi",7,N/A,N/A,N/A
34,"$3,930/mo",3 beds,3.5 baths,"1,667  sqft","2041 N Glebe Rd, Arlington, VA 22207",(703) 971-5000,https://www.redfin.com/VA/Arlington/2041-N-Glebe-Rd-22207/home/11234845,80,49,66,Dorothy Hamm Middle,"Public, 6-8 • Assigned • 0.6mi",7,Yorktown High School,"Public, 9-12 • Assigned • 1.1mi",7,N/A,N/A,N/A
35,"$3,800/mo",3 beds,3.5 baths,"2,000  sqft","2025 N Glebe Rd, Arlington, VA 22207",(703) 228-9007,https://www.redfin.com/VA/Arlington/2025-N-Glebe-Rd-22207/home/11234852,80,49,66,Dorothy Hamm Middle,"Public, 6-8 • Assigned • 0.6mi",7,Yorktown High School,"Public, 9-12 • Assigned • 1.1mi",7,N/A,N/A,N/A
36,"$3,050/mo",4 beds,3 baths,"1,980  sqft","1724 S Oakland St, Arlington, VA 22204",(703) 436-6964,https://www.redfin.com/VA/Arlington/1724-S-Oakland-St-22204/home/11263916,54,56,78,Jefferson Middle School,"Public, 6-8 • Assigned • 1.2mi",6,Wakefield High School,"Public, 9-12 • Assigned • 1.1mi",4,N/A,N/A,N/A
37,"$4,800/mo",4 beds,4.5 baths,"2,878  sqft","2313 N Van Buren Ct, Arlington, VA 22205",(703) 224-6000,https://www.redfin.com/VA/Arlington/2313-N-Van-Buren-Ct-22205/home/11239225,66,65,81,Williamsburg Middle School,"Public, 6-8 • Assigned • 1.6mi",9,Yorktown High School,"Public, 9-12 • Assigned • 1.4mi",7,N/A,N/A,N/A
38,"$3,500/mo",3 beds,2 baths,"1,500  sqft","924 N Liberty St, Arlington, VA 22205",(703) 471-7220,https://www.redfin.com/VA/Arlington/924-N-Liberty-St-22205/home/11241041,58,44,78,Swanson Middle School,"Public, 6-8 • Assigned • 0.5mi",6,Yorktown High School,"Public, 9-12 • Assigned • 1.9mi",7,N/A,N/A,N/A
39,"$3,990/mo",4 beds,3 baths,"1,620  sqft","27 N Bedford St, Arlington, VA 22201",(703) 349-0144,https://www.redfin.com/VA/Arlington/27-N-Bedford-St-22201/home/11255885,69,49,70,Jefferson Middle School,"Public, 6-8 • Assigned • 0.7mi",6,Washington Liberty High School,"Public, 9-12 • Assigned • 1.6mi",5,N/A,N/A,N/A
40,"$3,800/mo",3 beds,2.5 baths,"2,409  sqft","4093 Sutherland Pl, Fairfax, VA 22030",(703) 634-5450,https://www.redfin.com/VA/Fairfax/4093-Sutherland-Pl-22030/home/17120658,N/A,N/A,N/A,Johnson Middle School,"Public, 7-8 • Assigned • 1.1mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.8mi",5,N/A,N/A,N/A
41,"$4,960/mo",3 beds,2 baths,"1,526  sqft","Io Piazza By Windsor | 2727 S Quincy St, Arlington, VA 22206",(571) 348-9465,https://www.redfin.com/VA/Arlington/Io-Piazza-By-Windsor/apartment/11279949,86,57,80,Gunston Middle School,"Public, 6-8 • Assigned • 1.0mi",5,Wakefield High School,"Public, 9-12 • Assigned • 1.4mi",4,N/A,N/A,N/A
42,"$4,795/mo",4 beds,3.5 baths,"3,684  sqft","3514 Cobb Dr, Fairfax, VA 22030",(703) 519-0951,https://www.redfin.com/VA/Fairfax/3514-Cobb-Dr-22030/home/12024305,32,39,37,Johnson Middle School,"Public, 7-8 • Assigned • 0.4mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.8mi",5,N/A,N/A,N/A
43,"$4,500/mo",4 beds,3 baths,"3,055  sqft","10506 Norman Ave, Fairfax, VA 22030",(703) 971-5000,https://www.redfin.com/VA/Fairfax/10506-Norman-Ave-22030/home/12024593,54,39,49,Johnson Middle School,"Public, 7-8 • Assigned • 1.0mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.2mi",5,N/A,N/A,N/A
44,"$3,300/mo",3 beds,3 baths,"2,214  sqft","11005 Fairchester Dr, Fairfax, VA 22030",(703) 642-5683,https://www.redfin.com/VA/Fairfax/11005-Fairchester-Dr-22030/home/12026323,80,38,57,Johnson Middle School,"Public, 7-8 • Assigned • 0.3mi",5,Fairfax High School,"Public, 9-12 • Assigned • 2.2mi",5,N/A,N/A,N/A
45,"$3,400/mo",3 beds,2.5 baths,"1,638  sqft","3809 Keith Ave, Fairfax, VA 22030",(703) 378-8810,https://www.redfin.com/VA/Fairfax/3809-Keith-Ave-22030/home/12026511,69,40,64,Johnson Middle School,"Public, 7-8 • Assigned • 0.9mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.5mi",5,N/A,N/A,N/A
46,"$3,500/mo",4 beds,2.5 baths,"1,887  sqft","10626 Ashby Pl, Fairfax, VA 22030",(703) 533-8660,https://www.redfin.com/VA/Fairfax/10626-Ashby-Pl-22030/home/12028272,56,40,62,Johnson Middle School,"Public, 7-8 • Assigned • 1.4mi",5,Fairfax High School,"Public, 9-12 • Assigned • 2.0mi",5,N/A,N/A,N/A
47,"$3,197/mo",4 beds,2 baths,"1,666  sqft","10727 Maple St, Fairfax, VA 22030",(703) 378-8810,https://www.redfin.com/VA/Fairfax/10727-Maple-St-22030/home/12028310,58,39,45,Johnson Middle School,"Public, 7-8 • Assigned • 1.2mi",5,Fairfax High School,"Public, 9-12 • Assigned • 2.0mi",5,N/A,N/A,N/A
48,"$4,500/mo",4 beds,3.5 baths,"3,664  sqft","4100 John Trammell Ct, Fairfax, VA 22030",(703) 815-5700,https://www.redfin.com/VA/Fairfax/4100-John-Trammell-Ct-22030/home/12029494,86,40,73,Johnson Middle School,"Public, 7-8 • Assigned • 1.8mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.4mi",5,N/A,N/A,N/A
49,"$3,600/mo",3 beds,2.5 baths,"2,767  sqft","10502 James Wren Way, Fairfax, VA 22030",(571) 565-4849,https://www.redfin.com/VA/Fairfax/10502-James-Wren-Way-22030/home/12029726,72,40,76,Johnson Middle School,"Public, 7-8 • Assigned • 1.5mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.8mi",5,N/A,N/A,N/A
50,"$3,000/mo",3 beds,2.5 baths,"2,310  sqft","3870 Bradwater St, Fairfax, VA 22031",(703) 891-8500,https://www.redfin.com/VA/Fairfax/3870-Bradwater-St-22031/home/12030780,58,36,55,Johnson Middle School,"Public, 7-8 • Assigned • 2.9mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.1mi",5,N/A,N/A,N/A
51,"$3,800/mo",3 beds,2.5 baths,"2,409  sqft","4093 Sutherland Pl, Fairfax, VA 22030",(703) 634-5450,https://www.redfin.com/VA/Fairfax/4093-Sutherland-Pl-22030/home/17120658,N/A,N/A,N/A,Johnson Middle School,"Public, 7-8 • Assigned • 1.1mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.8mi",5,N/A,N/A,N/A
52,"$4,000/mo",3 beds,2.5 baths,"2,632  sqft","4043 Columbia Pike, Arlington, VA 22204",(703) 636-7300,https://www.redfin.com/VA/Arlington/4043-Columbia-Pike-22204/home/18969225,85,59,71,Jefferson Middle School,"Public, 6-8 • Assigned • 0.7mi",6,Wakefield High School,"Public, 9-12 • Assigned • 1.0mi",4,N/A,N/A,N/A
53,"$3,300/mo",3 beds,2.5 baths,"1,848  sqft","3548 S George Mason Dr, Alexandria, VA 22302",(703) 385-3600,https://www.redfin.com/VA/Alexandria/3548-S-George-Mason-Dr-22302/home/22047772,71,62,62,Glasgow Middle School,"Public, 6-8 • Assigned • 1.5mi",4,Justice High School,"Public, 9-12 • Assigned • 2.0mi",3,N/A,N/A,N/A
54,"$3,200/mo",3 beds,2.5 baths,"2,188  sqft","4490 Beacon Grove Cir, Fairfax, VA 22033",(703) 564-4000,https://www.redfin.com/VA/Fairfax/4490-Beacon-Grove-Cir-22033/home/28551097,N/A,N/A,N/A,Johnson Middle School,"Public, 7-8 • Assigned • 2.5mi",5,Fairfax High School,"Public, 9-12 • Assigned • 4.7mi",5,N/A,N/A,N/A
55,"$5,000/mo",4 beds,4.5 baths,"2,552  sqft","3400 11th St S, Arlington, VA 22204",(703) 449-7629,https://www.redfin.com/VA/Arlington/3400-11th-St-S-22204/home/95454797,90,60,88,Jefferson Middle School,"Public, 6-8 • Assigned • 0.7mi",6,Wakefield High School,"Public, 9-12 • Assigned • 1.4mi",4,N/A,N/A,N/A
56,"$4,200/mo",3 beds,3.5 baths,"1,800  sqft","9319 Lemon Mint Ct, Fairfax, VA 22031",(703) 854-1285,https://www.redfin.com/VA/Fairfax/9319-Lemon-Mint-Ct-22031/home/109701857,N/A,N/A,N/A,Thoreau Middle School,"Public, 7-8 • Assigned • 1.9mi",6,Oakton High School,"Public, 9-12 • Assigned • 1.0mi",6,N/A,N/A,N/A
57,"$4,100/mo",3 beds,3.5 baths,"1,944  sqft","3068 Wild Blue Indigo Ct, Fairfax, VA 22031",(703) 281-8500,https://www.redfin.com/VA/Fairfax/3068-Wild-Blue-Indigo-Ct-22031/home/167748771,N/A,N/A,N/A,Thoreau Middle School,"Public, 7-8 • Assigned • 2.0mi",6,Oakton High School,"Public, 9-12 • Assigned • 0.9mi",6,N/A,N/A,N/A
58,"$4,950/mo",4 beds,3.5 baths,"2,744  sqft","3060 Wild Blue Indigo Ct, Fairfax, VA 22031",(703) 636-7300,https://www.redfin.com/VA/Fairfax/3060-Wild-Blue-Indigo-Ct-22031/home/167748775,N/A,N/A,N/A,Thoreau Middle School,"Public, 7-8 • Assigned • 2.0mi",6,Oakton High School,"Public, 9-12 • Assigned • 0.9mi",6,N/A,N/A,N/A
59,"$4,200/mo",5 beds,4 baths,"3,640  sqft","7021 Westbury Rd, Mc Lean, VA 22101",(571) 278-3678,https://www.redfin.com/VA/Mc-Lean/7021-Westbury-Rd-22101/home/9397712,34,32,48,Longfellow Middle School,"Public, 7-8 • Assigned • 1.3mi",6,McLean High School,"Public, 9-12 • Assigned • 0.2mi",6,N/A,N/A,N/A
60,"$4,000/mo",3 beds,3.5 baths,"1,974  sqft","12514 League Ln, Fairfax, VA 22033",(301) 523-8008,https://www.redfin.com/VA/Fairfax/12514-League-Ln-22033/home/180451442,N/A,N/A,N/A,Johnson Middle School,"Public, 7-8 • Assigned • 2.8mi",5,Fairfax High School,"Public, 9-12 • Assigned • 5.0mi",5,N/A,N/A,N/A
